File accession	File format	Output type	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate	Read length	Mapped read length	Run type	Paired end	Paired with	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Assembly	Platform	Controlled by	File Status	Audit WARNING	Audit INTERNAL_ACTION	Audit NOT_COMPLIANT	Audit ERROR
ENCFF877QMQ	bed narrowPeak	peaks and background as input for IDR	ENCSR692ILH	ChIP-seq	UBERON:0002106	spleen	tissue	Homo sapiens				CTCF-human	DNA					False	2016-07-11	ENCODE				1							ENCFF370DPP, ENCFF403WUZ	6430493	ENCODE Processing Pipeline	cbce1ae827e70b00ddb3b8346d602677		https://www.encodeproject.org/files/ENCFF877QMQ/@@download/ENCFF877QMQ.bed.gz	hg19			released	antibody characterized with exemption			
ENCFF003YLJ	bed narrowPeak	pseudoreplicated idr thresholded peaks	ENCSR692ILH	ChIP-seq	UBERON:0002106	spleen	tissue	Homo sapiens				CTCF-human	DNA					False	2016-07-11	ENCODE				1							ENCFF001TDO, ENCFF877QMQ	370690	ENCODE Processing Pipeline	ff5cd00df1ba8abf45115f40b9fb5b84		https://www.encodeproject.org/files/ENCFF003YLJ/@@download/ENCFF003YLJ.bed.gz	hg19			released	antibody characterized with exemption			
ENCFF248QUD	bed narrowPeak	pseudoreplicated idr thresholded peaks	ENCSR692ILH	ChIP-seq	UBERON:0002106	spleen	tissue	Homo sapiens				CTCF-human	DNA					False	2016-07-11	ENCODE				1							ENCFF419RSJ, ENCFF882NVP	371183	ENCODE Processing Pipeline	80f48517315dfe39b6958947d99bfe26		https://www.encodeproject.org/files/ENCFF248QUD/@@download/ENCFF248QUD.bed.gz	GRCh38			released	antibody characterized with exemption			
ENCFF882NVP	bed narrowPeak	peaks and background as input for IDR	ENCSR692ILH	ChIP-seq	UBERON:0002106	spleen	tissue	Homo sapiens				CTCF-human	DNA					False	2016-07-11	ENCODE				1							ENCFF376BTL, ENCFF903NKV	6434271	ENCODE Processing Pipeline	785b4cacd8b5b0365427835bfc58984d		https://www.encodeproject.org/files/ENCFF882NVP/@@download/ENCFF882NVP.bed.gz	GRCh38			released	antibody characterized with exemption			
ENCFF828UBR	bed narrowPeak	pseudoreplicated idr thresholded peaks	ENCSR776AEL	ChIP-seq	UBERON:0000945	stomach	tissue	Homo sapiens				CTCF-human	DNA					False	2016-07-11	ENCODE				1							ENCFF001TDO, ENCFF142PDO	2637	ENCODE Processing Pipeline	832b158cdc4041222075f1d001a90fa6		https://www.encodeproject.org/files/ENCFF828UBR/@@download/ENCFF828UBR.bed.gz	hg19			released	antibody characterized with exemption, control low read depth			
ENCFF142PDO	bed narrowPeak	peaks and background as input for IDR	ENCSR776AEL	ChIP-seq	UBERON:0000945	stomach	tissue	Homo sapiens				CTCF-human	DNA					False	2016-07-11	ENCODE				1							ENCFF080WMH, ENCFF880RWA	3956703	ENCODE Processing Pipeline	41b35e5618e558377cb578e258e6e7a7		https://www.encodeproject.org/files/ENCFF142PDO/@@download/ENCFF142PDO.bed.gz	hg19			released	antibody characterized with exemption, control low read depth			
ENCFF896ZBU	bed narrowPeak	peaks and background as input for IDR	ENCSR776AEL	ChIP-seq	UBERON:0000945	stomach	tissue	Homo sapiens				CTCF-human	DNA					False	2016-07-11	ENCODE				1							ENCFF709NCT, ENCFF780OIC	4873026	ENCODE Processing Pipeline	787306b5415b7de63f6dff01e271db1b		https://www.encodeproject.org/files/ENCFF896ZBU/@@download/ENCFF896ZBU.bed.gz	GRCh38			released	antibody characterized with exemption, control low read depth			
ENCFF831BFL	bed narrowPeak	pseudoreplicated idr thresholded peaks	ENCSR776AEL	ChIP-seq	UBERON:0000945	stomach	tissue	Homo sapiens				CTCF-human	DNA					False	2016-07-11	ENCODE				1							ENCFF419RSJ, ENCFF896ZBU	2480	ENCODE Processing Pipeline	c8990f8ea41bc1a527e1f55ac4ec2f58		https://www.encodeproject.org/files/ENCFF831BFL/@@download/ENCFF831BFL.bed.gz	GRCh38			released	antibody characterized with exemption, control low read depth			
ENCFF396TUD	bed narrowPeak	pseudoreplicated idr thresholded peaks	ENCSR482PMN	ChIP-seq	UBERON:0002106	spleen	tissue	Homo sapiens				CTCF-human	DNA					False	2016-07-11	ENCODE				1							ENCFF001TDO, ENCFF518NZX	581382	ENCODE Processing Pipeline	f10945ebcc44d3cad7317e7004c0616e		https://www.encodeproject.org/files/ENCFF396TUD/@@download/ENCFF396TUD.bed.gz	hg19			released	antibody characterized with exemption			
ENCFF518NZX	bed narrowPeak	peaks and background as input for IDR	ENCSR482PMN	ChIP-seq	UBERON:0002106	spleen	tissue	Homo sapiens				CTCF-human	DNA					False	2016-07-11	ENCODE				1							ENCFF577BMV, ENCFF634EFZ	6113160	ENCODE Processing Pipeline	e92d03e16994aeef7e8dc54222eedb18		https://www.encodeproject.org/files/ENCFF518NZX/@@download/ENCFF518NZX.bed.gz	hg19			released	antibody characterized with exemption			
ENCFF540DVR	bed narrowPeak	pseudoreplicated idr thresholded peaks	ENCSR482PMN	ChIP-seq	UBERON:0002106	spleen	tissue	Homo sapiens				CTCF-human	DNA					False	2016-07-11	ENCODE				1							ENCFF250RMB, ENCFF419RSJ	580377	ENCODE Processing Pipeline	4f4b2fd5309439f66a3ea30cd6d695c2		https://www.encodeproject.org/files/ENCFF540DVR/@@download/ENCFF540DVR.bed.gz	GRCh38			released	antibody characterized with exemption			
ENCFF250RMB	bed narrowPeak	peaks and background as input for IDR	ENCSR482PMN	ChIP-seq	UBERON:0002106	spleen	tissue	Homo sapiens				CTCF-human	DNA					False	2016-07-11	ENCODE				1							ENCFF015XKO, ENCFF702GSO	6092883	ENCODE Processing Pipeline	c25c27b9f606183aef885867265f6846		https://www.encodeproject.org/files/ENCFF250RMB/@@download/ENCFF250RMB.bed.gz	GRCh38			released	antibody characterized with exemption			
ENCFF722THT	bed narrowPeak	pseudoreplicated idr thresholded peaks	ENCSR304XUZ	ChIP-seq	UBERON:0008367	breast epithelium	tissue	Homo sapiens				CTCF-human	DNA					False	2016-10-25	ENCODE				1							ENCFF001TDO, ENCFF041YKU	326706	ENCODE Processing Pipeline	328ef659513e75ffb75fb59470c7708c		https://www.encodeproject.org/files/ENCFF722THT/@@download/ENCFF722THT.bed.gz	hg19			released	moderate library complexity, antibody characterized with exemption, mild to moderate bottlenecking			
